n_influencers,valid_1,valid_2,n,p,num_edges,mean_degrees,std_num_followers,std_num_followings
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.0001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
9,1,1,10,0.001,1,0.1,0.30000000000000004,0.30000000000000004
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
9,1,1,10,0.001,1,0.1,0.30000000000000004,0.30000000000000004
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
9,1,1,10,0.001,1,0.1,0.30000000000000004,0.30000000000000004
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
9,1,1,10,0.001,1,0.1,0.30000000000000004,0.30000000000000004
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
9,1,1,10,0.001,1,0.1,0.30000000000000004,0.30000000000000004
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
9,1,1,10,0.001,1,0.1,0.30000000000000004,0.30000000000000004
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
10,1,1,10,0.001,0,0.0,0.0,0.0
